# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 5.75e0 2.60375e1 4.14206e34
2.e-6 5.75e0 2.70375e1 3.92938e34
2.e-6 5.75e0 2.80375e1 3.71951e34
2.e-6 5.75e0 2.90375e1 3.51237e34
2.e-6 5.75e0 3.00375e1 3.31196e34
2.e-6 5.75e0 3.10375e1 3.12579e34
2.e-6 5.75e0 3.20375e1 2.92946e34
2.e-6 5.75e0 3.30375e1 2.7402e34
2.e-6 5.75e0 3.40375e1 2.56055e34
2.e-6 5.75e0 3.50375e1 2.38875e34
2.e-6 5.75e0 3.60375e1 2.2072e34
2.e-6 5.75e0 3.70375e1 2.07071e34
2.e-6 5.75e0 3.80375e1 1.94242e34
2.e-6 5.75e0 3.90375e1 1.82023e34
2.e-6 5.75e0 4.00375e1 1.70397e34
2.e-6 5.75e0 4.10375e1 1.59631e34
2.e-6 5.75e0 4.20375e1 1.48847e34
2.e-6 5.75e0 4.30375e1 1.38531e34
2.e-6 5.75e0 4.40375e1 1.28898e34
2.e-6 5.75e0 4.50375e1 1.19837e34
2.e-6 5.75e0 4.60375e1 1.11197e34
2.e-6 5.75e0 4.70375e1 1.03374e34
2.e-6 5.75e0 4.80375e1 9.60591e33
2.e-6 5.75e0 4.90375e1 8.9208e33
2.e-6 5.75e0 5.00375e1 8.2766e33
2.e-6 5.75e0 5.10375e1 7.6611e33
2.e-6 5.75e0 5.20375e1 7.11674e33
2.e-6 5.75e0 5.30375e1 6.60718e33
2.e-6 5.75e0 5.40375e1 6.13183e33
2.e-6 5.75e0 5.50375e1 5.68527e33
2.e-6 5.75e0 5.60375e1 5.26516e33
2.e-6 5.75e0 5.70375e1 4.88579e33
2.e-6 5.75e0 5.80375e1 4.53404e33
2.e-6 5.75e0 5.90375e1 4.20651e33
2.e-6 5.75e0 6.00375e1 3.89896e33
2.e-6 5.75e0 6.10375e1 3.61054e33
2.e-6 5.75e0 6.20375e1 3.35077e33
2.e-6 5.75e0 6.30375e1 3.11034e33
2.e-6 5.75e0 6.40375e1 2.88671e33
2.e-6 5.75e0 6.50375e1 2.67616e33
2.e-6 5.75e0 6.60375e1 2.4882e33
2.e-6 5.75e0 6.70375e1 2.30258e33
2.e-6 5.75e0 6.80375e1 2.13652e33
2.e-6 5.75e0 6.90375e1 1.98635e33
2.e-6 5.75e0 7.00375e1 1.84317e33
2.e-6 5.75e0 7.10375e1 1.70956e33
2.e-6 5.75e0 7.20375e1 1.58927e33
2.e-6 5.75e0 7.30375e1 1.47859e33
2.e-6 5.75e0 7.40375e1 1.37596e33
2.e-6 5.75e0 7.50375e1 1.27859e33
2.e-6 5.75e0 7.60375e1 1.18861e33
2.e-6 5.75e0 7.70375e1 1.10661e33
2.e-6 5.75e0 7.80375e1 1.03046e33
2.e-6 5.75e0 7.90375e1 9.59514e32
2.e-6 5.75e0 8.00375e1 8.93045e32
2.e-6 5.75e0 8.10375e1 8.3121e32
2.e-6 5.75e0 8.20375e1 7.74609e32
2.e-6 5.75e0 8.30375e1 7.22096e32
2.e-6 5.75e0 8.40375e1 6.73094e32
2.e-6 5.75e0 8.50375e1 6.26975e32
2.e-6 5.75e0 8.60375e1 5.8408e32
2.e-6 5.75e0 8.70375e1 5.45279e32
2.e-6 5.75e0 8.80375e1 5.09448e32
2.e-6 5.75e0 8.90375e1 4.75609e32
2.e-6 5.75e0 9.00375e1 4.43859e32
2.e-6 5.75e0 9.10375e1 4.14248e32
2.e-6 5.75e0 9.20375e1 3.87405e32
2.e-6 5.75e0 9.30375e1 3.62558e32
2.e-6 5.75e0 9.40375e1 3.39288e32
2.e-6 5.75e0 9.50375e1 3.17439e32
2.e-6 5.75e0 9.60375e1 2.9708e32
2.e-6 5.75e0 9.70375e1 2.78435e32
2.e-6 5.75e0 9.80375e1 2.61156e32
2.e-6 5.75e0 9.90375e1 2.45847e32
2.e-6 5.75e0 1.00038e2 2.31971e32
